NAD_µL,HCOO_µL,NADH_µL,FDH_µL,Buffer_µL
600,0,0,50,350
600,5,0,50,345
600,10,0,50,340
600,20,0,50,330
600,100,0,50,250
600,200,0,50,150
0,200,0,50,750
10,200,0,50,740
20,200,0,50,730
75,200,0,50,675
200,200,0,50,550
600,200,0,50,150
0,200,10,50,740
10,200,10,50,730
20,200,10,50,720
75,200,10,50,665
200,200,10,50,540
600,200,10,50,140
0,200,20,50,730
10,200,20,50,720
20,200,20,50,710
75,200,20,50,655
200,200,20,50,530
600,200,20,50,130
0,200,50,50,700
10,200,50,50,690
20,200,50,50,680
75,200,50,50,625
200,200,50,50,500
600,200,50,50,100
0,200,100,50,650
10,200,100,50,640
20,200,100,50,630
75,200,100,50,575
200,200,100,50,450
600,200,100,50,50
