ID,FDH_0,NAD_0,HCOO_0,NADH_0,CO2_0,initial_rate,Abs_0s,Abs_60s,dA_60s,dNADH_mM,NADH_60,NAD_60,HCOO_60,CO2_60,specific_activity_U_per_mg
1,0.04,0.6491961414,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0005,8.038585209003216e-05,8.038585209003216e-05,0.64911575554791,-8.038585209003216e-05,8.038585209003216e-05,0.002009646302250804
2,0.04,0.6491961414,5.0,0.0,0.0,0.0067,0.0,0.0067,0.0067,0.001077170418006431,0.001077170418006431,0.6481189709819936,4.998922829581994,0.001077170418006431,0.026929260450160777
3,0.04,0.6491961414,10.0,0.0,0.0,0.0142,0.0,0.0142,0.0142,0.0022829581993569137,0.0022829581993569137,0.6469131832006432,9.997717041800643,0.0022829581993569137,0.05707395498392283
4,0.04,0.6491961414,20.0,0.0,0.0,0.0368,0.0,0.0368,0.0368,0.005916398713826367,0.005916398713826367,0.6432797426861737,19.994083601286174,0.005916398713826367,0.14790996784565916
5,0.04,0.6491961414,100.0,0.0,0.0,0.0546,0.0,0.0546,0.0546,0.008778135048231512,0.008778135048231512,0.6404180063517685,99.99122186495177,0.008778135048231512,0.21945337620578778
6,0.04,0.6491961414,200.0,0.0,0.0,0.0641,0.0,0.0641,0.0641,0.010305466237942122,0.010305466237942122,0.6388906751620579,199.98969453376205,0.010305466237942122,0.25763665594855306
7,0.04,0.0,200.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,1.6077170418006433e-05,1.6077170418006433e-05,-1.6077170418006433e-05,199.99998392282959,1.6077170418006433e-05,0.0004019292604501608
8,0.04,0.010819935689999999,200.0,0.0,0.0,0.021,0.0,0.021,0.021,0.0033762057877813503,0.0033762057877813503,0.007443729902218648,199.9966237942122,0.0033762057877813503,0.08440514469453377
9,0.04,0.021639871379999998,200.0,0.0,0.0,0.027,0.0,0.027,0.027,0.004340836012861737,0.004340836012861737,0.01729903536713826,199.99565916398714,0.004340836012861737,0.10852090032154342
10,0.04,0.081149517675,200.0,0.0,0.0,0.0482,0.0,0.0482,0.0482,0.007749196141479099,0.007749196141479099,0.07340032153352091,199.99225080385852,0.007749196141479099,0.19372990353697747
11,0.04,0.2163987138,200.0,0.0,0.0,0.0555,0.0,0.0555,0.0555,0.00892282958199357,0.00892282958199357,0.20747588421800645,199.991077170418,0.00892282958199357,0.22307073954983925
12,0.04,0.6491961414,200.0,0.0,0.0,0.0593,0.0,0.0593,0.0593,0.009533762057877813,0.009533762057877813,0.6396623793421222,199.99046623794212,0.009533762057877813,0.23834405144694537
13,0.04,0.0,200.0,0.00869453376,0.0,0.0005,0.0,0.0005,0.0005,8.038585209003216e-05,0.008774919612090032,-8.038585209003216e-05,199.9999196141479,8.038585209003216e-05,0.002009646302250804
14,0.04,0.010819935689999999,200.0,0.00869453376,0.0,0.0101,0.0,0.0101,0.0101,0.0016237942122186496,0.01031832797221865,0.009196141477781349,199.9983762057878,0.0016237942122186496,0.04059485530546624
15,0.04,0.021639871379999998,200.0,0.00869453376,0.0,0.0224,0.0,0.0224,0.0224,0.0036012861736334405,0.012295819933633441,0.01803858520636656,199.99639871382638,0.0036012861736334405,0.090032154340836
16,0.04,0.081149517675,200.0,0.00869453376,0.0,0.0428,0.0,0.0428,0.0428,0.006881028938906752,0.015575562698906751,0.07426848873609325,199.99311897106108,0.006881028938906752,0.17202572347266878
17,0.04,0.2163987138,200.0,0.00869453376,0.0,0.0552,0.0,0.0552,0.0552,0.008874598070739549,0.01756913183073955,0.20752411572926047,199.99112540192925,0.008874598070739549,0.22186495176848872
18,0.04,0.6491961414,200.0,0.00869453376,0.0,0.0588,0.0,0.0588,0.0588,0.00945337620578778,0.01814790996578778,0.6397427651942122,199.99054662379422,0.00945337620578778,0.2363344051446945
19,0.04,0.0,200.0,0.01738906752,0.0,0.0007,0.0,0.0007,0.0007,0.00011254019292604502,0.017501607712926043,-0.00011254019292604502,199.99988745980707,0.00011254019292604502,0.002813504823151125
20,0.04,0.010819935689999999,200.0,0.01738906752,0.0,0.01,0.0,0.01,0.01,0.001607717041800643,0.018996784561800643,0.009212218648199356,199.9983922829582,0.001607717041800643,0.04019292604501608
21,0.04,0.021639871379999998,200.0,0.01738906752,0.0,0.0182,0.0,0.0182,0.0182,0.0029260450160771704,0.02031511253607717,0.01871382636392283,199.99707395498393,0.0029260450160771704,0.07315112540192925
22,0.04,0.081149517675,200.0,0.01738906752,0.0,0.036,0.0,0.036,0.036,0.005787781350482315,0.023176848870482315,0.07536173632451769,199.99421221864952,0.005787781350482315,0.14469453376205785
23,0.04,0.2163987138,200.0,0.01738906752,0.0,0.0483,0.0,0.0483,0.0483,0.007765273311897108,0.025154340831897107,0.2086334404881029,199.9922347266881,0.007765273311897108,0.19413183279742766
24,0.04,0.6491961414,200.0,0.01738906752,0.0,0.052,0.0,0.052,0.052,0.008360128617363342,0.02574919613736334,0.6408360127826367,199.99163987138263,0.008360128617363342,0.20900321543408357
25,0.04,0.0,200.0,0.043472668799999996,0.0,0.0004,0.0,0.0004,0.0004,6.430868167202573e-05,0.04353697748167202,-6.430868167202573e-05,199.99993569131834,6.430868167202573e-05,0.0016077170418006433
26,0.04,0.010819935689999999,200.0,0.043472668799999996,0.0,0.007,0.0,0.007,0.007,0.00112540192926045,0.04459807072926045,0.00969453376073955,199.99887459807073,0.00112540192926045,0.02813504823151125
27,0.04,0.021639871379999998,200.0,0.043472668799999996,0.0,0.0103,0.0,0.0103,0.0103,0.0016559485530546624,0.04512861735305466,0.019983922826945336,199.99834405144694,0.0016559485530546624,0.041398713826366555
28,0.04,0.081149517675,200.0,0.043472668799999996,0.0,0.0234,0.0,0.0234,0.0234,0.0037620578778135047,0.0472347266778135,0.0773874597971865,199.99623794212218,0.0037620578778135047,0.09405144694533762
29,0.04,0.2163987138,200.0,0.043472668799999996,0.0,0.0368,0.0,0.0368,0.0368,0.005916398713826367,0.049389067513826365,0.21048231508617363,199.99408360128618,0.005916398713826367,0.14790996784565916
30,0.04,0.6491961414,200.0,0.043472668799999996,0.0,0.0453,0.0,0.0453,0.0453,0.007282958199356914,0.05075562699935691,0.6419131832006432,199.99271704180063,0.007282958199356914,0.18207395498392284
31,0.04,0.0,200.0,0.08694533759999999,0.0,0.0041,0.0,0.0041,0.0041,0.0006591639871382638,0.08760450158713826,-0.0006591639871382638,199.99934083601286,0.0006591639871382638,0.016479099678456594
32,0.04,0.010819935689999999,200.0,0.08694533759999999,0.0,0.0043,0.0,0.0043,0.0043,0.0006913183279742765,0.08763665592797427,0.010128617362025723,199.99930868167203,0.0006913183279742765,0.017282958199356914
